name,rating,reviews,salary,interviews,jobs,benefits
Omega Healthcare,3.7,6700.0,28700.0,579.0,188.0,417.0
JLL,4.1,6700.0,26400.0,513.0,469.0,573.0
Muthoot Finance,3.7,6600.0,13300.0,382.0,159.0,344.0
eClerx,3.1,6600.0,34100.0,662.0,466.0,575.0
IIFL Finance,4.0,6600.0,14100.0,345.0,42.0,400.0
Indian Army,4.7,6500.0,9500.0,216.0,,754.0
PolicyBazaar,3.7,6400.0,19200.0,675.0,1300.0,298.0
DMart,3.9,6500.0,20000.0,584.0,275.0,495.0
Indiamart Intermesh,3.6,6400.0,22000.0,828.0,260.0,526.0
Piramal Finance,4.2,6400.0,12900.0,310.0,121.0,457.0
Virtusa Consulting Services,3.6,6300.0,58400.0,697.0,214.0,343.0
HSBC Group,3.8,6300.0,46700.0,572.0,113.0,1200.0
SMFG India Credit,3.9,6200.0,11100.0,225.0,122.0,360.0
Access Healthcare,3.7,6200.0,30400.0,425.0,689.0,395.0
HCL Group,3.5,6100.0,38900.0,529.0,,658.0
BigBasket,3.9,6100.0,20400.0,521.0,95.0,404.0
Manappuram Finance,3.9,6100.0,9800.0,240.0,5.0,250.0
GlobalLogic,3.5,6000.0,42700.0,707.0,45.0,554.0
ICICI Lombard General Insurance Company,3.5,6000.0,21000.0,386.0,247.0,400.0
Siemens,4.0,6000.0,35500.0,529.0,1100.0,648.0
Firstsource Solutions,3.5,6000.0,25600.0,381.0,59.0,575.0
Apollo Hospitals,4.0,6000.0,17300.0,516.0,343.0,527.0
Aurobindo Pharma,4.0,6000.0,20400.0,307.0,21.0,469.0
Shapoorji Pallonji Group,4.1,5900.0,15600.0,457.0,68.0,656.0
Tata Capital,4.0,5900.0,16900.0,304.0,5200.0,282.0
Swiggy,3.7,5900.0,25300.0,616.0,136.0,381.0
UST,3.7,5900.0,41600.0,619.0,629.0,413.0
Standard Chartered,3.6,5900.0,42700.0,337.0,20.0,321.0
Mahindra Finance,3.8,5900.0,12300.0,231.0,156.0,530.0
Bosch Global Software Technologies,3.7,5800.0,41800.0,399.0,57.0,653.0
Udaan,3.9,5800.0,14900.0,377.0,5.0,707.0
Citicorp,3.6,5700.0,55600.0,652.0,,536.0
Ashok Leyland,4.0,5700.0,19100.0,338.0,2.0,656.0
Hero MotoCorp,4.1,5700.0,16900.0,440.0,1.0,612.0
CGI Inc,4.0,5600.0,48300.0,583.0,468.0,371.0
Kalpataru Projects International,4.1,5500.0,14500.0,353.0,2.0,235.0
NTT DATA,3.8,5500.0,40000.0,786.0,13.0,550.0
SBI Cards & Payment Services,3.6,5500.0,16300.0,341.0,95.0,356.0
Nagarjuna Construction Company,4.0,5500.0,12800.0,471.0,19.0,431.0
IQVIA,3.7,5500.0,32800.0,584.0,29.0,557.0
BNY,3.6,5500.0,32500.0,408.0,58.0,559.0
Cyient,3.6,5500.0,27800.0,345.0,136.0,450.0
Schneider Electric,4.1,5400.0,27000.0,477.0,486.0,462.0
SBI Life Insurance Company,3.7,5400.0,12300.0,331.0,10.0,348.0
CBRE,4.1,5400.0,19700.0,373.0,33.0,489.0
JustDial,3.5,5300.0,15500.0,408.0,35.0,366.0
TVS Motor,3.8,5300.0,17200.0,439.0,214.0,563.0
Persistent Systems,3.6,5300.0,48600.0,739.0,430.0,405.0
State Bank of India,3.9,5300.0,12000.0,352.0,10.0,414.0
ITC Infotech,3.9,5200.0,30800.0,433.0,108.0,302.0
KEC International,4.0,5200.0,14100.0,447.0,31.0,479.0
Amdocs,3.6,5100.0,38200.0,575.0,,633.0
Atos,3.8,5100.0,33100.0,422.0,95.0,477.0
Utkarsh Small Finance Bank,3.6,5000.0,12000.0,342.0,67.0,298.0
Varun Beverages,4.0,5000.0,12400.0,365.0,17.0,335.0
JBM Group,3.9,5000.0,14300.0,378.0,50.0,364.0
vivo,4.0,5000.0,12900.0,251.0,29.0,629.0
Lenskart,3.4,4900.0,14100.0,548.0,261.0,359.0
Randstad,3.7,4900.0,17800.0,349.0,25.0,361.0
Ecom Express,4.1,4900.0,9200.0,270.0,,307.0
Nagarro,3.9,4900.0,34300.0,846.0,337.0,1100.0
Hetero,3.9,4900.0,15700.0,457.0,119.0,389.0
EY Global Delivery Services ( EY GDS),3.5,4800.0,55000.0,933.0,20.0,366.0
Intas Pharmaceuticals,4.1,4800.0,18200.0,276.0,45.0,407.0
Bosch,4.1,4800.0,21600.0,393.0,,615.0
Havells,3.9,4800.0,16000.0,315.0,35.0,329.0
Eviden,3.6,4800.0,26200.0,317.0,,3.0
L&T Finance,3.9,4800.0,12200.0,241.0,,252.0
Aditya Birla Fashion and Retail,4.1,4800.0,13400.0,285.0,51.0,408.0
R1 RCM,3.8,4800.0,22700.0,375.0,203.0,358.0
Tata AIA Life Insurance,3.8,4800.0,15300.0,271.0,873.0,318.0
Hewlett Packard Enterprise,4.0,4800.0,27800.0,274.0,196.0,552.0
Cars24,3.5,4700.0,16100.000000000002,421.0,80.0,402.0
Mahindra Logistics,3.7,4700.0,13000.0,258.0,235.0,451.0
Berger Paints,3.7,4700.0,11000.0,466.0,330.0,285.0
Deutsche Bank,3.8,4700.0,39300.0,443.0,283.0,429.0
Dell,3.8,4600.0,29600.0,446.0,15.0,554.0
Home Credit Finance,4.0,4600.0,9100.0,155.0,113.0,600.0
Motilal Oswal Financial Services,3.6,4600.0,13700.0,563.0,56.0,182.0
TeamLease Services,3.9,4600.0,16900.0,266.0,,224.0
VE Commercial Vehicles,3.9,4600.0,14800.0,307.0,20.0,373.0
Hyundai Motor India Limited,4.1,4500.0,14600.0,339.0,5.0,533.0
OPPO,3.9,4500.0,11800.0,266.0,16.0,588.0
Thermax Limited,4.2,4500.0,13800.0,365.0,50.0,397.0
Jubilant Foods Works,3.7,4500.0,10100.0,271.0,316.0,213.0
Macleods Pharmaceuticals,3.7,4400.0,16100.000000000002,282.0,24.0,351.0
Carelon Global Solutions,3.9,4400.0,29500.0,437.0,145.0,36.0
Jindal Steel Limited,3.9,4400.0,16700.0,455.0,39.0,362.0
Hindalco Industries,4.2,4400.0,13300.0,332.0,15.0,369.0
Aakash Educational Services,3.2,4400.0,14200.0,387.0,121.0,219.0
State Street Corporation,3.5,4300.0,35100.0,308.0,13.0,278.0
Bajaj Auto,3.8,4300.0,15100.0,340.0,40.0,489.0
LG Electronics,3.8,4300.0,11400.0,278.0,13.0,407.0
DCB Bank,3.8,4200.0,10000.0,239.0,20.0,260.0
HDFC ERGO General Insurance,3.9,4200.0,12300.0,216.0,10.0,282.0
RBL Bank,3.5,4200.0,18800.0,254.0,24.0,223.0
Royal Enfield,4.2,4200.0,15400.0,212.0,3.0,400.0
Kogta Financial India Limited,4.6,4200.0,2100.0,252.0,98.0,39.0
Cloudnine Hospital,4.5,4200.0,3300.0,1700.0,25.0,226.0
John Deere,4.0,4200.0,16000.0,279.0,4.0,443.0
Publicis Sapient,3.2,4100.0,33700.0,720.0,91.0,412.0
Cummins,4.3,4100.0,15900.0,301.0,190.0,471.0
Tata Communications,3.8,4100.0,23900.0,313.0,260.0,431.0
